200 200
1.00039 -2.83249e-07 -3.17329e-07
1.00039 -2.87783e-07 -4.90783e-07
1.00039 -9.89726e-08 -5.78268e-07
1.00039 3.74794e-07 -6.16712e-07
1.00039 7.72289e-07 -6.23666e-07
1.00039 1.28282e-06 -6.09814e-07
1.00039 1.6017e-06 -5.81965e-07
1.00039 1.9549e-06 -5.44728e-07
1.00039 2.06296e-06 -5.01112e-07
1.00038 2.16876e-06 -4.5338e-07
1.00038 2.00553e-06 -4.02966e-07
1.00038 1.82459e-06 -3.51123e-07
1.00038 1.36622e-06 -2.98544e-07
1.00038 8.86043e-07 -2.46008e-07
1.00037 1.28708e-07 -1.93813e-07
1.00037 -6.48132e-07 -1.425e-07
1.00037 -1.69688e-06 -9.21351e-08
1.00037 -2.75913e-06 -4.31354e-08
1.00036 -4.08514e-06 4.57898e-09
1.00036 -5.41657e-06 5.06546e-08
1.00036 -7.00192e-06 9.52732e-08
1.00036 -8.58353e-06 1.38109e-07
1.00036 -1.04083e-05 1.79418e-07
1.00035 -1.22197e-05 2.18882e-07
1.00035 -1.42632e-05 2.56816e-07
1.00035 -1.62835e-05 2.92895e-07
1.00035 -1.85247e-05 3.27485e-07
1.00034 -2.07332e-05 3.60244e-07
1.00034 -2.31515e-05 3.9158e-07
1.00034 -2.55278e-05 4.21132e-07
1.00034 -2.81032e-05 4.49345e-07
1.00034 -3.06279e-05 4.75832e-07
1.00034 -3.3341e-05 5.01074e-07
1.00034 -3.59953e-05 5.24656e-07
1.00033 -3.8828e-05 5.47091e-07
1.00033 -4.15942e-05 5.67936e-07
1.00033 -4.45291e-05 5.87731e-07
1.00033 -4.73904e-05 6.06005e-07
1.00033 -5.04111e-05 6.23323e-07
1.00033 -5.33517e-05 6.39186e-07
1.00033 -5.64429e-05 6.54183e-07
1.00033 -5.94478e-05 6.67787e-07
1.00033 -6.25949e-05 6.80608e-07
1.00033 -6.56502e-05 6.92091e-07
1.00033 -6.88395e-05 7.02866e-07
1.00033 -7.19319e-05 7.12351e-07
1.00033 -7.51505e-05 7.21197e-07
