200 200
1.00047 6.29013e-08 -3.61598e-08
1.00047 1.65442e-07 -1.02903e-07
1.00047 5.92681e-07 -1.59065e-07
1.00047 9.96435e-07 -1.89869e-07
1.00047 1.58711e-06 -1.96904e-07
1.00047 2.02528e-06 -1.85484e-07
1.00047 2.54846e-06 -1.60685e-07
1.00047 2.84384e-06 -1.26316e-07
1.00047 3.16958e-06 -8.53748e-08
1.00047 3.22923e-06 -3.98679e-08
1.00046 3.29236e-06 8.49513e-09
1.00046 3.07206e-06 5.86959e-08
1.00046 2.844e-06 1.0968e-07
1.00046 2.32715e-06 1.60964e-07
1.00046 1.80035e-06 2.11827e-07
1.00045 9.86508e-07 2.62098e-07
1.00045 1.65865e-07 3.11233e-07
1.00045 -9.35786e-07 3.59256e-07
1.00044 -2.0379e-06 4.05715e-07
1.00044 -3.41239e-06 4.50769e-07
1.00044 -4.77916e-06 4.94012e-07
1.00044 -6.40817e-06 5.35702e-07
1.00043 -8.02029e-06 5.7545e-07
1.00043 -9.88367e-06 6.1359e-07
1.00043 -1.17206e-05 6.49733e-07
1.00043 -1.37974e-05 6.84276e-07
1.00042 -1.58382e-05 7.16818e-07
1.00042 -1.81075e-05 7.47809e-07
1.00042 -2.03314e-05 7.76829e-07
1.00042 -2.27726e-05 8.04374e-07
1.00042 -2.51593e-05 8.29998e-07
1.00041 -2.77524e-05 8.54239e-07
1.00041 -3.02825e-05 8.76622e-07
1.00041 -3.30084e-05 8.97725e-07
1.00041 -3.56634e-05 9.17039e-07
1.00041 -3.8504e-05 9.35176e-07
1.00041 -4.12663e-05 9.51597e-07
1.0004 -4.42045e-05 9.66944e-07
1.0004 -4.70576e-05 9.80645e-07
1.0004 -5.00771e-05 9.93372e-07
1.0004 -5.30055e-05 1.00452e-06
1.0004 -5.60913e-05 1.01479e-06
1.0004 -5.90802e-05 1.02354e-06
1.0004 -6.2218e-05 1.03149e-06
1.0004 -6.52537e-05 1.03798e-06
1.0004 -6.843e-05 1.04376e-06
1.0004 -7.14994e-05 1.04811e-06
1.0004 -7.47014e-05 1.05182e-06
1.0004 -7.77922e-05 1.05415e-06
1.0004 -8.10079e-05 1.05589e-06
1.0004 -8.41083e-05 1.05628e-06
1.0004 -8.73261e-05 1.05613e-06
